"","year","yoshino_peak_bloom_date","bloom_date","formatted_date","emoji"
"87",2007,91,2007-04-02,"Apr. 02","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"88",2008,86,2008-03-27,"Mar. 27","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"89",2009,91,2009-04-02,"Apr. 02","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"90",2010,90,2010-04-01,"Apr. 01","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"91",2011,88,2011-03-30,"Mar. 30","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"92",2012,80,2012-03-21,"Mar. 21","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"93",2013,99,2013-04-10,"Apr. 10","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"94",2014,100,2014-04-11,"Apr. 11","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"95",2015,100,2015-04-11,"Apr. 11","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"96",2016,85,2016-03-26,"Mar. 26","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"97",2017,84,2017-03-26,"Mar. 26","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"98",2018,95,2018-04-06,"Apr. 06","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"99",2019,91,2019-04-02,"Apr. 02","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"100",2020,80,2020-03-21,"Mar. 21","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"101",2021,87,2021-03-29,"Mar. 29","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"102",2022,80,2022-03-22,"Mar. 22","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"103",2023,82,2023-03-24,"Mar. 24","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"104",2024,77,2024-03-18,"Mar. 18","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
